,make,model,variant,cc,seating_capacity,fuel_type,local_code
0,HONDA,CR-V,2.4 MT,2354,5,Petrol,12623
1,VOLKSWAGEN,AMEO,1.5L TDI MT COMFORTLINE PLUS,1498,5,Diesel,36811
2,FORD,FIGO,1.2 TITANIUM SPORTS PETROL,1196,5,Petrol,36819
3,LAMBORGHINI,AVENTADOR,S LP 740-4,6498,2,Petrol,37548
4,SKODA,RAPID,MONTE CARLO 1.6 MPI AT,1598,5,Petrol,37128
5,SKODA,OCTAVIA,STYLE AT 1.8 TSI,1798,5,Petrol,36998
6,BMW,3-SERIES,320D EDITION SPORT,1995,5,Diesel,37726
7,MARUTI,SWIFT,LDI (DIESEL),1248,5,Diesel,12792
8,GENERAL MOTORS,TAVERA,B2 8 SEATER,2499,8,Diesel,33273
9,TOYOTA MOTORS,TOYOTA RAV4,,1998,5,Petrol,26261
10,MARUTI,ALTO,K10 LX(O),998,5,Petrol,31670
11,BMW,3-SERIES,330i SPORT LINE,1998,5,Petrol,36720
12,MERCEDES-BENZ.,GLE,43 4MATIC AMG COUPE,2996,5,Diesel,36805
13,TOYOTA KIRLOSKAR,LAND CRUISER,200 VX,4461,8,Diesel,33330
14,MERCEDES-BENZ.,E-CLASS,E 220 D,1950,5,Diesel,36669
15,MARUTI,ERTIGA,ZDI PLUS SHVS,1248,7,Diesel,31678
16,MARUTI,BALENO HATCHBACK,Zeta 1.3,1248,5,Diesel,30561
17,BMW,5 SERIES,523I,2497,5,Petrol,32582
18,GENERAL MOTORS,TAVERA,NEO 3 LT 9 Seats,2499,9,Diesel,33286
19,AUDI,AUDI A3 CABRIOLET,1.4 TFSI,1395,4,Petrol,37206
20,MERCEDES-BENZ.,AMG,GT R,3982,2,Petrol,37209
21,MERCEDES-BENZ.,AMG,GT ROADSTER,3982,2,Petrol,37208
22,JEEP,GRAND CHEROKEE,LIMITED PETROL,3604,5,Petrol,37431
23,BMW,6-SERIES,640 D GRAN COUPE 5 STR,2993,5,Diesel,37398
24,FORD,ECOSPORT,1.0 PLATINUM EDITION PETROL,999,5,Petrol,35957
25,ISUZU,D MAX,S-CAB,2499,5,Diesel,36885
26,MARUTI,BALENO HATCHBACK,Delta 1.2,1197,5,Petrol,30557
27,VOLKSWAGEN,VENTO,1.2 TSI HIGHLINE PLUS AT,1197,5,Petrol,36297
28,BMW,X3,xDRIVE 30D,2993,5,Diesel,23059
29,MERCEDES-BENZ.,GLC,220 D 4MATIC SPORT,2143,5,Diesel,36975
30,SKODA,RAPID,AMBITION 1.6 MPI AT PLUS,1598,5,Petrol,36490
31,MARUTI,ZEN ESTILO,GREEN LX BSIV,998,5,CNG,36319
32,TATA MOTORS LTD,TIAGO,WIZZ EDITION PETROL,1199,5,Petrol,37291
33,BMW,5 SERIES,535I,2979,5,Petrol,32580
34,BMW,X3,3.0 Si,2987,5,Petrol,33311
35,MARUTI,SWIFT DZIRE,ZDI,1248,5,Diesel,12803
36,MARUTI,DZIRE,LXI TOUR,1197,5,Petrol,37176
37,MARUTI,ALTO 800,DX,796,5,Petrol,31692
38,MARUTI,CIAZ,DELTA 1.4 MT,1373,5,Petrol,36253
39,BMW,X3,xDRIVE 20D M SPORT,1995,5,Diesel,37522
40,MARUTI,ALTO,K10 LX,998,5,Petrol,31671
41,MARUTI,CELERIO,LXI AGS (O),998,5,Petrol,31683
42,GENERAL MOTORS,TAVERA,NEO 3 LT 8 Seats,2499,8,Diesel,33288
43,MARUTI,CIAZ,SMART HYBRID SIGMA,1248,5,Diesel,36708
44,JEEP,WRANGLER,UNLIMITED 2.8,2799,5,Diesel,33658
45,MINI,COUNTRYMAN,COOPER S JCW INSPIRED,1998,5,Petrol,38881
46,TOYOTA KIRLOSKAR,ETIOS LIVA,V DUAL TONE,1197,5,Petrol,38886
47,FORD,ECOSPORT,TITANIUM PLUS 1.5 Ti-VCT AT,1497,5,Petrol,37584
48,AUDI,TT COUPE,TT COUPE,3189,4,Petrol,32603
49,GENERAL MOTORS,TAVERA,NY ELITE LT L2 8 SEATER,2499,8,Diesel,33272
50,TOYOTA KIRLOSKAR,LAND CRUISER,,4500,5,Diesel,20525
51,MARUTI,ZEN,3 DOOR,993,5,Petrol,31673
52,MARUTI,ZEN,CLASSIC,993,5,Petrol,31674
53,VOLKSWAGEN,PASSAT,HIGHLINE,1968,5,Diesel,37387
54,TOYOTA KIRLOSKAR,LEXUS LX,450 D,4461,5,Diesel,36172
55,TATA MOTORS LTD,INDICA VISTA,DRIVETECH4 TERRA 1.2 SAFIRE,1172,5,Petrol,20082
56,TATA MOTORS LTD,INDICA VISTA,DRIVETECH4 AQUA 1.2 SAFIRE,1172,5,Petrol,20083
57,TATA MOTORS LTD,INDICA VISTA,AURA ABS 1.2 SAFIRE,1172,5,Petrol,19022
58,TATA MOTORS LTD,INDICA VISTA,LE SAFIRE,1172,5,Petrol,18921
59,TATA MOTORS LTD,INDICA VISTA,DRIVETECH4 AURA 1.2 SAFIRE,1172,5,Petrol,20084
60,TATA MOTORS LTD,INDICA VISTA,DRIVETECH4 AURA ABS 1.2 SAFIRE,1172,5,Petrol,20085
61,TATA MOTORS LTD,INDICA VISTA,TERRA 1.2 SAFIRE,1172,5,Petrol,12950
62,TATA MOTORS LTD,INDICA VISTA,AURA PLUS 1.2 SAFIRE,1172,5,Petrol,19025
63,MARUTI,ERTIGA,LXI (O),1373,7,Petrol,31677
64,MARUTI,RITZ,ELATE VXI,1197,5,Petrol,32687
65,MARUTI,GYPSY,KING SOFT TOP,1298,5,Petrol,32713
66,FORD,IKON,1.6 ZXI CNG,1597,5,CNG,32994
67,EICHER POLARIS PVT LTD,MULTIX,AX PLUS,511,5,Diesel,32065
68,TOYOTA KIRLOSKAR,LAND CRUISER,200 VX STANDARD AT,4461,8,Diesel,33131
69,TATA MOTORS LTD,INDIGO ECS,LS,1396,5,Diesel,25782
70,TATA MOTORS LTD,VENTURE,EX,1405,7,Diesel,21363
71,TATA MOTORS LTD,ZEST,XT REVOTRON 90PS PETROL,1193,5,Petrol,28485
72,VOLKSWAGEN,TIGUAN,HIGHLINE TDI,1968,5,Diesel,36533
73,MARUTI,IGNIS,ALPHA PETROL,1197,5,Petrol,35642
74,TOYOTA KIRLOSKAR,LAND CRUISER,200 V8,4461,7,Diesel,33130
75,ISUZU,MU X,4X4 AT,2999,7,Diesel,36673
76,GENERAL MOTORS,TAVERA,NEO 3 Max 10 Seats,2499,10,Diesel,33289
77,GENERAL MOTORS,TAVERA,NEO 3 LS 7 Seats,2499,7,Diesel,33290
78,VOLKSWAGEN,VENTO,TRENDLINE MPI,1598,5,Petrol,21699
79,BMW,5-SERIES,530i SPORT LINE,1998,5,Petrol,37084
80,MERCEDES-BENZ.,GLE,400 4MATIC,2996,5,Petrol,36682
81,BMW,3-SERIES,330i GT LUXURY LINE,1998,5,Petrol,36719
82,MARUTI,ZEN ESTILO,LXI CNG,998,5,CNG,20755
83,MARUTI,ZEN ESTILO,CNG,1061,5,CNG,32721
84,MARUTI,WAGON R,MINOR VXI PLUS,998,5,Petrol,35704
85,MERCEDES-BENZ.,GLA,220 d 4MATIC ACTIVITY EDITION,2143,5,Diesel,36186
86,MARUTI,CELERIO,GREEN VXI (O),998,5,Petrol,36250
87,SKODA,RAPID,MONTE CARLO 1.6 MPI MT,1598,5,Petrol,37127
88,MARUTI,WAGON R,MINOR VXI PLUS AGS,998,5,Petrol,35709
89,MARUTI,WAGON R,MINOR LXI(O),998,5,Petrol,35700
90,MARUTI,WAGON R,MINOR VXI (O) AGS,998,5,Petrol,35703
91,MARUTI,WAGON R,MINOR LXI,998,5,Petrol,35699
92,TOYOTA KIRLOSKAR,COROLLA ALTIS,1.8 G CVT,1798,5,Petrol,36700
93,BMW,7-SERIES,730LD DPE SIGNATURE,2993,4,Diesel,36724
94,BMW,X1,S DRIVE 20I XLINE,1998,5,Petrol,36728
95,JEEP,COMPASS,LIMITED 2.0 DIESEL 4X4,1956,5,Diesel,36924
96,JEEP,COMPASS,LIMITED 1.4 PETROL AT,1368,5,Petrol,36916
97,JEEP,COMPASS,LIMITED (O) 2.0 DIESEL 4X4,1956,5,Diesel,36925
98,JEEP,COMPASS,LIMITED (O) 1.4 PETROL AT,1368,5,Petrol,36918
99,MAHINDRA RENAULT,LOGAN,LOGAN GLS 1.6,1598,5,Petrol,12753
100,MARUTI,WAGON R,LXI LPG 5 STR,998,5,LPG,33407
101,MARUTI,CELERIO,ZDI PLUS,793,5,Diesel,31684
102,TATA MOTORS LTD,INDICA VISTA,AURA 1.2 SAFIRE,1172,5,Petrol,12948
103,TATA MOTORS LTD,INDICA VISTA,GVX SAFIRE 65,1172,5,Petrol,24456
104,TATA MOTORS LTD,INDICA VISTA,1.4 AQUA SAFIRE,1396,5,Petrol,25184
105,TATA MOTORS LTD,INDICA VISTA,GLX SAFIRE 65,1172,5,Petrol,24122
106,TATA MOTORS LTD,INDICA VISTA,TERRA SAFIRE 90.,1368,5,Petrol,25870
107,PORSCHE,718,CAYMAN,1988,2,Petrol,36454
108,MARUTI,WAGON R,LXI CNG (O),998,5,CNG,33406
109,MARUTI,WAGON R,MINOR VXI PLUS AGS (O),998,5,Petrol,35702
110,MARUTI,WAGON R,MINOR GREEN LXI(O),998,5,Petrol,35706
111,JEEP,WRANGLER,UNLIMITED 4x4 PETROL,3604,5,Petrol,37256
112,FORD,FIGO ASPIRE,TITANIUM PLUS 1.5 TDCi,1498,5,Diesel,30167
113,BMW,X5,4.8i 7 SEATER,4799,7,Petrol,33099
114,RENAULT,CAPTUR,RXL PETROL,1498,5,Petrol,37474
115,SKODA,OCTAVIA,L & K 1.8 TSI AT,1798,5,Petrol,37238
116,AUDI,TT COUPE,108.0,1781,5,Petrol,32599
117,AUDI,AUDI A8,L 60 TDI,4134,4,Diesel,36659
118,MERCEDES-BENZ.,GLC,220 D 4MATIC STYLE,2143,5,Diesel,36974
119,BMW,7-SERIES,730 LD DPE SIGNATURE,2993,5,Diesel,36597
120,MARUTI,ERTIGA,VDI,1248,7,Diesel,24005
121,BMW,M4,COUPE,2979,4,Petrol,36730
122,BMW,6-SERIES,640D DESIGN PURE EXPERIENCE,2993,5,Diesel,36723
123,BMW,X5,M,4395,5,Petrol,36732
124,BMW,7-SERIES,750LI M SPORT,4395,4,Petrol,36727
125,TATA MOTORS LTD,INDICA EV2,LS,1396,5,Diesel,21735
126,VOLVO,S60,POLESTAR,1969,5,Petrol,37384
127,VOLKSWAGEN,PASSAT,COMFORTLINE,1968,5,Diesel,37388
128,MARUTI,SWIFT,1.2 ZXi BS III,1197,5,Petrol,37393
129,JEEP,COMPASS,SPORT 2.0 DIESEL,1956,5,Diesel,36919
130,BMW,X3,X DRIVE 28I XLINE,1997,5,Petrol,36729
131,HUMMER,H2,7 STR,6000,7,Petrol,36832
132,SKODA,OCTAVIA,RS 2.0 TSI AT,1984,5,Petrol,37091
133,FIAT,PETRA,1.2 ELX,1242,5,Petrol,33012
134,FIAT,PALIO,ADVENTURE PS,1596,5,Petrol,33013
135,VOLKSWAGEN,AMEO,1.2 MPI ANNIVERSARY EDITION,1198,5,Petrol,37396
136,FIAT,LINEA,1.3 D,1248,5,Petrol,33459
137,FIAT,PALIO,S 10,1596,5,Petrol,33015
138,MARUTI,IGNIS,ZETA PETROL,1197,5,Petrol,35641
139,MARUTI,IGNIS,ZETA DIESEL AMT,1248,5,Diesel,35643
140,MARUTI,ERTIGA,VXI CNG,1373,7,CNG,26415
141,FIAT,PALIO,ADVENTURE,1596,5,Petrol,33014
142,MARUTI,ALTO,Xcite (4 STR),796,4,Petrol,33036
143,PORSCHE,MACAN,R4,1984,5,Petrol,37443
144,TOYOTA KIRLOSKAR,LEXUS NX,300H F SPORT,2494,5,Petrol,38152
145,TOYOTA KIRLOSKAR,LEXUS NX,300H LUXURY,2494,5,Petrol,38153
146,VOLKSWAGEN,AMEO,1.0L PACE PETROL,999,5,Petrol,38963
147,BMW,M6 COUPE,4.4,4395,5,Petrol,33313
148,JEEP,COMPASS,LONGITUDE 2.0 DIESEL,1956,5,Diesel,36920
149,BMW,5 SERIES,528i,2793,5,Petrol,32572
150,BMW,Z4,3.21 M Coupe,3999,2,Petrol,33309
151,VOLVO,S60,D4 MOMENTUM,1984,5,Diesel,36872
152,TATA MOTORS LTD,SUMO,VICTA GX,1948,7,Diesel,19037
153,TATA MOTORS LTD,TIAGO,REVOTRON XTA,1199,5,Petrol,37151
154,MARUTI,S-CROSS,SMART HYBRID SIGMA,1248,5,Diesel,37330
155,MARUTI,SWIFT,DECA VXI,1197,5,Petrol,32341
156,VOLVO,V40 CROSS COUNTRY,T4,1969,5,Petrol,35764
157,MARUTI,WAGON R,MINOR VXI(O),998,5,Petrol,35698
158,MERCEDES-BENZ.,S-CLASS,S 500 XL,4663,4,Petrol,36581
159,BMW,7-SERIES,730LD M SPORT,2993,4,Diesel,36725
160,MARUTI,CIAZ,SMART HYBRID ZETA,1248,5,Diesel,36710
161,MARUTI,BALENO HATCHBACK,Zeta AT 1.2,1197,5,Petrol,31478
162,VOLKSWAGEN,AMEO,1.2 HIGHLINE PLUS PETROL,1198,5,Petrol,37346
163,TATA MOTORS LTD,INDICA V2 XETA,GLS LPG,1193,5,LPG,12944
164,PORSCHE,CAYMAN,GT4,3800,2,Petrol,36050
165,MARUTI,SWIFT,1.2 VXi BS IV,1197,5,Petrol,18914
166,FORD,FIGO ASPIRE,TITANIUM 1.5 TDCi,1498,5,Diesel,30170
167,MARUTI,WAGON R,MINOR VXI PLUS (O),998,5,Petrol,35701
168,MARUTI,SWIFT DZIRE,ZXI,1298,5,Petrol,12804
169,MARUTI,S-CROSS,SMART HYBRID DELTA,1248,5,Diesel,37331
170,MERCEDES-BENZ.,GLC,43 AMG COUPE,2996,4,Petrol,36946
171,TATA MOTORS LTD,VENTURE,EX 8 SEATER,1405,8,Diesel,33468
172,TATA MOTORS LTD,VENTURE,EX (5 Seater),1405,5,Diesel,33142
173,TATA MOTORS LTD,VENTURE,EX 5 SEATER,1405,5,Diesel,33377
174,TATA MOTORS LTD,INDIGO ECS,VX,1396,5,Diesel,25359
175,TATA MOTORS LTD,INDIGO ECS,LX,1396,5,Diesel,24323
176,MARUTI,ERTIGA,VDI SHVS,1248,7,Diesel,31663
177,VOLVO,S80,44L V8,4414,5,Petrol,33113
178,VOLVO,XC90,D5 R DESIGN,1969,7,Diesel,36875
179,SKODA,KODIAQ,STYLE TDI 4x4 AT,1968,7,Diesel,37267
180,MARUTI,SWIFT,1.2 DLX,1197,5,Petrol,36428
181,TOYOTA KIRLOSKAR,LEXUS ES,300h,2487,5,Petrol,36279
182,MERCEDES-BENZ.,M-CLASS,ML 270 CDI,2685,5,Diesel,19376
183,MERCEDES-BENZ.,E-CLASS,E 350 CDI ELEGANCE,2987,5,Diesel,21586
184,MERCEDES-BENZ.,C-CLASS,C 250,2497,5,Diesel,19405
185,MERCEDES-BENZ.,C-CLASS,220 CDI AT,2148,5,Diesel,17040
186,TATA MOTORS LTD,ZEST,XM QUADRAJET 75PS DIESEL,1248,5,Diesel,36755
187,MARUTI,CIAZ,ALPHA 1.5 MT,1462,5,Petrol,39246
188,TOYOTA KIRLOSKAR,INNOVA CRYSTA,2.7 VX MT 7 STR,2694,7,Petrol,32413
189,FORD,ENDEAVOUR,XLT 4X4,2499,7,Diesel,16968
190,SKODA,RAPID,1.5 TDI CR STYLE AT,1498,5,Diesel,33621
191,SKODA,RAPID,1.5 TDI CR ELEGANCE PLUS,1498,5,Diesel,30463
192,SKODA,SUPERB,2.0 TDI PD,1968,5,Diesel,19877
193,VOLVO,S80,KINETIC D3,1984,5,Diesel,26428
194,MERCEDES-BENZ.,GL,350 CDI EXECUTIVE,2987,7,Diesel,24170
195,GENERAL MOTORS,SAIL,1.3 LS,1248,5,Diesel,25893
196,BMW,6-SERIES,640 D,2993,4,Diesel,22988
197,BMW,5-SERIES,GT 530D LE,2993,5,Diesel,20119
198,BMW,X1,XDRIVE 20D XLINE,1995,5,Diesel,32480
199,BMW,X6,XDRIVE 40D,2993,5,Diesel,25810
200,BMW,5-SERIES,525D,1995,5,Diesel,26217
201,BMW,7-SERIES,730 LD M SPORT,2993,5,Diesel,31830
202,BMW,X1,XDRIVE 20D M SPORT,1995,5,Diesel,32481
203,BMW,X5,xDRIVE 30D DESIGN PURE EXPERIENCE 7STR,2993,7,Diesel,31888
204,BMW,X5,xDRIVE 30D DESIGN PURE EXPERIENCE,2993,5,Diesel,31889
205,BMW,3-SERIES,320D PRESTIGE,1995,5,Diesel,31867
206,BMW,3-SERIES,320D,1995,5,Diesel,27421
207,BMW,5-SERIES,520D M SPORT,1995,5,Diesel,32388
208,BMW,X5,xDRIVE 30D EXPEDITION 5STR,2993,5,Diesel,30627
209,BMW,X3,xDRIVE 30D M SPORT,2993,5,Diesel,31324
210,BMW,GRAN TURISMO,LUXURY LINE,1995,5,Diesel,29216
211,BMW,X6,XDRIVE 30D,2993,5,Diesel,12449
212,BMW,X5,xDRIVE 30D,2993,5,Diesel,22067
213,SKODA,LAURA,1.9 TDI AT,1896,5,Diesel,19905
214,SKODA,LAURA,L AND K 1.9 PD AT,1896,5,Diesel,12914
215,MERCEDES-BENZ.,GL,350 CDI GRAND LUXURY,2987,7,Diesel,24261
216,MERCEDES-BENZ.,E-CLASS,E220 CDI ELEGANCE,2143,5,Diesel,22965
217,MERCEDES-BENZ.,E-CLASS,E220 CDI BLUE EFFICIENCY,2143,5,Diesel,32497
218,MERCEDES-BENZ.,S-CLASS,320 CDI L,2987,5,Diesel,17046
219,MERCEDES-BENZ.,C-CLASS,220 CDI SPORT,2148,5,Diesel,26623
220,MERCEDES-BENZ.,GLE,350 D 4MATIC,2987,5,Diesel,30603
221,MERCEDES-BENZ.,GLA,200 CDI STYLE,2143,5,Diesel,28764
222,MERCEDES-BENZ.,C-CLASS,240 D,2400,5,Diesel,23153
223,MERCEDES-BENZ.,E-CLASS,E 250 CDI CLASSIC,2143,5,Diesel,21584
224,MERCEDES-BENZ.,E-CLASS,E 350 COUPE,3498,4,Diesel,21582
225,MERCEDES-BENZ.,C-CLASS,C 220 CDI GRAND EDITION,2143,5,Diesel,27663
226,MERCEDES-BENZ.,M-CLASS,ML 250 CDI,2143,5,Diesel,25644
227,MERCEDES-BENZ.,E-CLASS,E 350 CDI AVANTGARDE,2987,5,Diesel,21585
228,VOLVO,XC90,D5 AWD,2400,7,Diesel,13091
229,VOLVO,S60,T5,2400,5,Diesel,24107
230,VOLVO,S60,D4 KINETIC,1984,5,Diesel,25781
231,VOLVO,XC60,MOMENTUM D4,1969,5,Diesel,31429
232,MERCEDES-BENZ.,S-CLASS,S 450 5 STR,2996,5,Petrol,38374
233,HONDA,JAZZ,Non Metallic S CVT,1199,5,Petrol,32932
234,HONDA,AMAZE,V CVT PETROL,1199,5,Petrol,38892
235,VOLVO,S60,D5 SUMMUM,2400,5,Diesel,21946
236,VOLVO,S60,D5 KINETIC,2400,5,Diesel,21945
237,TOYOTA KIRLOSKAR,COROLLA ALTIS,D 4D G DIESEL,1364,5,Diesel,22935
238,TOYOTA KIRLOSKAR,COROLLA ALTIS,G DIESEL,1364,5,Diesel,20126
239,TOYOTA KIRLOSKAR,COROLLA ALTIS,D4 - DJS,1364,5,Diesel,28814
240,TOYOTA KIRLOSKAR,COROLLA ALTIS,D-4D GL,1364,5,Diesel,29602
241,VOLKSWAGEN,BEETLE,1.9 TDI MT,1896,5,Diesel,21319
242,VOLKSWAGEN,TOUAREG,V10,4921,5,Diesel,19182
243,VOLKSWAGEN,PASSAT,COMFORTLINE DSG,1968,5,Diesel,22774
244,VOLKSWAGEN,PASSAT,HIGHLINE DSG,1968,5,Diesel,13084
245,VOLKSWAGEN,PASSAT,HIGHLINE 2.0 TDI,1968,5,Diesel,22789
246,VOLKSWAGEN,TOUAREG,3.0 V6 TDI,2967,5,Diesel,13086
247,VOLKSWAGEN,PASSAT,HIGHLINE DSG S,1968,5,Diesel,13085
248,SKODA,YETI,ELEGANCE 2.0 TDI CR 4X4,1968,5,Diesel,24174
249,SKODA,LAURA,1.9 TDI MT ELEGANCE,1896,5,Diesel,17068
250,SKODA,YETI,AMBITION 2.0 TDI CR 4X4,1968,5,Diesel,25715
251,SKODA,YETI,ACTIVE 2.0 TDI CR 4X2,1968,5,Diesel,24226
252,TATA MOTORS LTD,INDIGO MANZA,LS QUADRAJET,1248,5,Diesel,40084
253,BMW,3-SERIES,320D GT LUXURY LINE,1995,5,Diesel,28012
254,MARUTI,ERTIGA,SMART HYBRID LDI,1248,7,Diesel,40308
255,MARUTI,ERTIGA,SMART HYBRID ZDI PLUS,1248,7,Diesel,40310
256,MARUTI,ERTIGA,SMART HYBRID ZDI,1248,7,Diesel,40309
257,BMW,7-SERIES,730 LD DPE,2993,5,Diesel,32086
258,TOYOTA KIRLOSKAR,INNOVA CRYSTA,TOURING SPORT DIESEL AT,2755,7,Diesel,38749
259,HONDA,CIVIC,1.5 L,1493,5,Petrol,32942
260,MARUTI,ERTIGA,SMART HYBRID ZXI AT,1462,7,Petrol,40257
261,MARUTI,ERTIGA,SMART HYBRID ZXI,1462,7,Petrol,40254
262,PORSCHE,CAYENNE,V6 PETROL,2995,5,Petrol,39869
263,MARUTI,SWIFT,ZXI PLUS AGS,1197,5,Petrol,39299
264,BMW,5-SERIES,530D SEDAN,2993,5,Diesel,12438
265,BMW,X6,XDRIVE 35D,2993,4,Diesel,28968
266,BMW,5-SERIES,530D M SPORT,2993,5,Diesel,28777
267,BMW,5-SERIES,520D LUXURY LINE,1995,5,Diesel,27515
268,BMW,X5,xDRIVE 30D EXPEDITION,2993,7,Diesel,30030
269,BMW,7-SERIES,730 LD PRESTIGE,2993,5,Diesel,30343
270,BMW,GRAN TURISMO,SPORT LINE,1995,5,Diesel,31527
271,BMW,X1,S DRIVE 20D,1995,5,Diesel,21126
272,BMW,X3,xDRIVE 20D LUXURY LINE,1995,5,Diesel,38622
273,SKODA,SUPERB,L&K 1.8 TSI AT,1798,5,Petrol,31352
274,SKODA,SUPERB,STYLE 1.8 TSI AT,1798,5,Petrol,31310
275,SKODA,SUPERB,2.8 V6,2771,5,Petrol,12923
276,SKODA,SUPERB,1.8 TSI AT,1798,5,Petrol,19875
277,SKODA,SUPERB,3.6 FSI 4x4,3597,5,Petrol,19873
278,TOYOTA KIRLOSKAR,CAMRY,V1,2362,5,Petrol,17473
279,TOYOTA KIRLOSKAR,CAMRY,W5 (AT),2494,5,Petrol,27874
280,TOYOTA KIRLOSKAR,CAMRY,V6,2362,5,Petrol,17519
281,TOYOTA KIRLOSKAR,CAMRY,W4 (AT),2362,5,Petrol,17091
282,TOYOTA KIRLOSKAR,CAMRY,V4,2362,5,Petrol,17518
283,TOYOTA KIRLOSKAR,CAMRY,HYBRID,2494,5,Petrol,26661
284,TOYOTA KIRLOSKAR,CAMRY,2.5L AT,2494,5,Petrol,26137
285,TOYOTA KIRLOSKAR,CAMRY,ACV30R,2362,5,Petrol,18580
286,MITSUBISHI,OUTLANDER,2.4 MIVEC,2360,5,Petrol,12864
287,BMW,5-SERIES,520D SEDAN,1995,5,Diesel,12435
288,TATA MOTORS LTD,NANO,TWIST XT,624,4,Petrol,27682
289,MARUTI,ALTO,K10 LXI (O) CNG 4 STR,998,4,CNG,40282
290,HONDA,AMAZE,1.2 S (O ) MT i-VTEC,1198,5,Petrol,40350
291,SKODA,LAURA,1.9 TDI MT AMBIENTE,1896,5,Diesel,17067
292,SKODA,LAURA,AMBIENTE 2.0 TDI CR AT,1968,5,Diesel,19225
293,BMW,X5,3.0D,2993,5,Diesel,12447
294,BMW,5-SERIES,530 D GRAN TURISMO,2993,5,Diesel,19439
295,MARUTI,ERTIGA,SMART HYBRID ZXI PLUS,1462,7,Petrol,40256
296,MARUTI,ERTIGA,SMART HYBRID VXI AT,1462,7,Petrol,40255
297,TOYOTA KIRLOSKAR,ETIOS,TRD SPORTIVO DIESEL,1364,5,Diesel,25778
298,VOLKSWAGEN,VENTO,HIGHLINE MT,1598,5,Diesel,24221
299,VOLKSWAGEN,VENTO,1.5 COMFORTLINE DIESEL AT,1498,5,Diesel,28982
300,VOLKSWAGEN,VENTO,1.5 TRENDLINE DIESEL,1498,5,Diesel,28983
301,TOYOTA KIRLOSKAR,ETIOS,GD SP,1364,5,Diesel,27055
302,VOLKSWAGEN,POLO,GT TDI,1598,5,Diesel,26879
303,TOYOTA KIRLOSKAR,INNOVA CRYSTA,2.7 GX MT 8 STR,2694,8,Petrol,32414
304,SKODA,YETI,ELEGANCE 4 X 4,1968,5,Diesel,28576
305,SKODA,LAURA,LAURA RS,1798,5,Diesel,22862
306,SKODA,SUPERB,ELEGANCE 1.8 TSI MT,1798,5,Petrol,24436
307,SKODA,SUPERB,STYLE 1.8 TSI,1798,5,Petrol,32030
308,SKODA,SUPERB,SPORTLINE 1.8 TSI AT,1798,5,Petrol,40129
309,TOYOTA KIRLOSKAR,CAMRY,V3,2362,5,Petrol,17474
310,TOYOTA KIRLOSKAR,CAMRY,ACV40R,2362,5,Petrol,20706
311,TOYOTA KIRLOSKAR,CAMRY,W3 (MT),2362,5,Petrol,17090
312,TOYOTA KIRLOSKAR,CAMRY,W1 (MT),2362,5,Petrol,13033
313,SKODA,SUPERB,2.5 TDI COMFORT,2496,5,Diesel,12922
314,SKODA,SUPERB,2.5 TDI,2496,5,Diesel,12921
315,HONDA,BRIO,S MT,1198,5,Petrol,22552
316,HONDA,AMAZE,VX CVT PETROL,1199,5,Petrol,31378
317,HONDA,CITY,1.5 E MT,1497,5,Petrol,19093
318,HONDA,CITY,1.3 LXI,1343,5,Petrol,17431
319,HONDA,AMAZE,1.2 S MT PLUS i-VTEC,1198,5,Petrol,30355
320,HONDA,AMAZE,1.2 EXMT i-VTEC,1198,5,Petrol,28266
321,HONDA,AMAZE,1.2 SXMT i-VTEC,1198,5,Petrol,27532
322,MARUTI,ALTO 800,TOUR H1,796,5,Petrol,38307
323,HONDA,CITY,V MT (AVN),1497,5,Petrol,26469
324,HONDA,AMAZE,E PETROL,1198,5,Petrol,26114
325,VOLKSWAGEN,VENTO,1.5 HIGHLINE DIESEL AT,1498,5,Diesel,28981
326,VOLKSWAGEN,VENTO,1.5 HIGHLINE DIESEL,1498,5,Diesel,28984
327,SKODA,SUPERB,SPORTLINE 2.0 TDI AT,1968,5,Diesel,40130
328,TOYOTA KIRLOSKAR,INNOVA CRYSTA,2.7 GX AT 7 STR,2694,7,Petrol,32412
329,TOYOTA KIRLOSKAR,INNOVA CRYSTA,2.7 GX AT 8 STR,2694,8,Petrol,32411
330,TATA MOTORS LTD,NEXON,KRAZ PETROL,1198,5,Petrol,39791
331,TATA MOTORS LTD,NEXON,KRAZ PLUS PETROL,1198,5,Petrol,39792
332,TATA MOTORS LTD,NEXON,KRAZ DIESEL,1497,5,Diesel,39793
333,TATA MOTORS LTD,NEXON,KRAZ PLUS DIESEL,1497,5,Diesel,39794
334,VOLVO,S60,CROSS COUNTRY INSCRIPTION,2400,5,Diesel,35671
335,TOYOTA KIRLOSKAR,INNOVA CRYSTA,2.4 GX MT 7 STR,2393,7,Diesel,31519
336,TOYOTA KIRLOSKAR,INNOVA CRYSTA,2.4 G MT 8 STR,2393,8,Diesel,31521
337,BMW,5-SERIES,520D PRESTIGE,1995,5,Diesel,30366
338,BMW,5-SERIES,520D PRESTIGE PLUS,1995,5,Diesel,30367
339,BMW,X6,XDRIVE 40D M SPORT,2993,5,Diesel,30200
340,BMW,X3,xDRIVE 20D xLINE,1995,5,Diesel,29459
341,MINI,COOPER CABRIO,1.6,1598,4,Petrol,36317
342,TATA MOTORS LTD,TIGOR,REVOTRON XZ PLUS,1199,5,Petrol,39971
